sample_name	accession	food_group
otika	SRR27593208	otika
otika	SRR27593233	otika
otiru	SRR27593183	otiru
peha	SRR22859379	peha
peron namsing	SRR22859378	peron namsing
perunyaan	SRR22859377	perunyaan
pickle bolivian	SRR18334997	pickle
pickle bolivian	SRR18335011	pickle
pickle bolivian	SRR18335012	pickle
pickle cucumber	ERR4757814	pickle
pickle daikon	ERR4757850	pickle
pickle daikon	ERR4757818	pickle
pickle greek	SRR18335000	pickle
pickle greek	SRR18334998	pickle
pickle greek	SRR18334999	pickle
pickle hijazi	SRR18335002	pickle
pickle hijazi	SRR18335001	pickle
pickle hijazi	SRR18335003	pickle
pickle indian	SRR18335013	pickle
pickle indian	SRR18335014	pickle
pickle indian	SRR18335004	pickle
pickle mixed vegetables	ERR4757819	pickle
pickle okra	ERR4757851	pickle
pickle onion	SRR18335008	pickle
pickle onion	SRR18335010	pickle
pickle papaya	SRR18335005	pickle
pickle papaya	SRR18335007	pickle
pickle papaya	SRR18335006	pickle
pickle tomato	ERR4757852	pickle
pito	SRR27593234	pito
pito	SRR27593222	pito
pito	SRR27593217	pito
pozol	SRR13708565	pozol
pozol	SRR13708567	pozol
pozol	SRR13708566	pozol
probiotics	SRR2182533	probiotics
probiotics	SRR2182535	probiotics
probiotics	SRR2182550	probiotics
probiotics	SRR2182549	probiotics
probiotics	SRR2182539	probiotics
probiotics	SRR11605270	probiotics
probiotics	SRR2182545	probiotics
probiotics	SRR11605263	probiotics
probiotics	SRR11605271	probiotics
probiotics	SRR2182534	probiotics
pulque	SRR10997047	pulque
pulque	SRR10997049	pulque
pulque	SRR10997046	pulque
pulque	SRR10997050	pulque
pulque	SRR10997048	pulque
sauerkraut	ERR4757825	sauerkraut
sauerkraut	ERR4757837	sauerkraut
sauerkraut	ERR4757810	sauerkraut
sauerkraut	ERR4757826	sauerkraut
sauerkraut	ERR4757828	sauerkraut
sauerkraut	SRR6313184	sauerkraut
sauerkraut	SRR6313181	sauerkraut
sauerkraut	SRR6313182	sauerkraut
sauerkraut	SRR6313183	sauerkraut
sausage	SRR25393919	sausage
sausage	SRR25394006	sausage
sausage	SRR25393909	sausage
sausage	SRR25393920	sausage
sausage	SRR25393912	sausage
sausage	SRR25393913	sausage
sausage	SRR25393915	sausage
sausage	SRR25393921	sausage
sausage	SRR25394008	sausage
sausage	SRR25393917	sausage
sausage italian	SRR12227952	sausage
sausage italian	SRR12227957	sausage
sausage italian	SRR12227962	sausage
sausage italian	SRR12227964	sausage
sausage italian	SRR12227958	sausage
sausage italian	SRR12227956	sausage
sausage italian	SRR12227961	sausage
sausage italian	SRR12227963	sausage
sausage italian	SRR12227960	sausage
sausage italian	SRR12227955	sausage
sekete	SRR27593174	sekete
soumbala	SRR27593161	soumbala
sourdough	SRR10454485	sourdough
